"","target_word","lb","comparison","ub","significance","midpt","avg"
"84","agitated",-0.206,"C-H",-0.066,1,-0.136,-0.142099322879221
"85","agitation",-0.101,"C-H",0.031,0,-0.035,-0.103467307705432
"86","anger",-0.106,"C-H",0.058,0,-0.024,-0.0484116835519671
"87","angrily",-0.154,"C-H",0.05,0,-0.052,-0.151422427303623
"88","angry",-0.184,"C-H",-0.034,1,-0.109,-0.0953907333139796
"89","challenged",-0.191,"C-H",-0.01,1,-0.1005,-0.1556676686625
"90","challenges",-0.131,"C-H",0.053,0,-0.039,-0.0199614141602069
"91","challenging",-0.085,"C-H",0.065,0,-0.01,0.0579908470390365
"92","combative",-0.169,"C-H",0.003,0,-0.083,-0.141998053214047
"93","combativeness",-0.156,"C-H",0.038,0,-0.059,-0.125369616318494
"94","confront",-0.227,"C-H",0.057,0,-0.085,-0.199352737888694
"95","confrontation",-0.137,"C-H",0.051,0,-0.043,-0.117173322627787
"96","confrontational",-0.167,"C-H",0.046,0,-0.0605,-0.0986093467334285
"97","confronted",-0.173,"C-H",0.029,0,-0.072,-0.113687421840586
"98","confronting",-0.07,"C-H",0.074,0,0.00199999999999999,0.0419561522663571
"99","defensive",-0.145,"C-H",0.047,0,-0.049,0.0217806676697364
"100","defensiveness",-0.09,"C-H",-0.034,1,-0.062,-0.079410037928028
"101","non_adherence",-0.072,"C-H",0.135,0,0.0315,0.0935905128950253
"102","non_adherent",-0.03,"C-H",0.122,0,0.046,-0.0278112164101913
"103","non_compliance",-0.122,"C-H",0.042,0,-0.04,0.00484977989690378
"104","non_compliant",-0.165,"C-H",0.015,0,-0.075,-0.10406117530074
"105","nonadherence",-0.123,"C-H",0.085,0,-0.019,-0.069190306958626
"106","nonadherent",-0.131,"C-H",0.064,0,-0.0335,-0.0942839186405763
"107","noncompliance",-0.124,"C-H",0.064,0,-0.03,-0.0607647658442147
"108","noncompliant",-0.128,"C-H",0.059,0,-0.0345,-0.0572724768484477
"109","noncooperative",-0.156,"C-H",0.009,0,-0.0735,-0.0349052792415023
"110","resist",-0.161,"C-H",0.043,0,-0.059,-0.0687012089241762
"111","resistance",-0.119,"C-H",0.014,0,-0.0525,-0.0951998194330372
"112","resistances",-0.118,"C-H",0.067,0,-0.0255,-0.0495245880971197
"113","resistant",-0.051,"C-H",0.097,0,0.023,-0.0144419490185101
"114","resisted",-0.138,"C-H",0.069,0,-0.0345,-0.048990846821107
"115","resisting",-0.183,"C-H",-0.017,1,-0.1,-0.139209205517545
"116","resists",-0.139,"C-H",0.043,0,-0.048,-0.12559163942642
"117","unpleasant",-0.139,"C-H",0.036,0,-0.0515,0.012092732443125
