"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"68","138","ah",0.0668991418206133,0.04285750606869,0.0912027115385298,-0.0243035697179165,0.158101853359143,0,0.118531597053827
"69","138","ch",-0.0274435568484478,0.0355232630565561,0.0755951106502037,-0.103038667498651,0.0481515538017559,0,0.43978774561148
"70","1411","ac",0.0534188563935459,0.0313032731428774,0.0666147812260912,-0.0131959248325453,0.120033637619637,0,0.0879160914031361
"71","1411","ah",0.0175845396704972,0.0315371995747,0.067112587254481,-0.0495280475839839,0.0846971269249782,0,0.577130611768777
"72","1411","ch",-0.0358343167230487,0.0303371114462951,0.0645587454322271,-0.100393062155276,0.0287244287091784,0,0.237521701354016
"73","1453","ac",0.0682571943209041,0.0306117860150179,0.0651432653391495,0.0031139289817546,0.133400459660054,1,0.0257628196748492
"74","1453","ah",0.0499515268777031,0.0466043939999575,0.0991762585436888,-0.0492247316659857,0.149127785421392,0,0.283800837058392
"75","1453","ch",-0.0183056674432009,0.0403715310027515,0.0859124441471567,-0.104218111590358,0.0676067767039557,0,0.650239064340331
"76","15214","ac",0.0789472146643675,0.0323861805132397,0.0689192570946543,0.0100279575697132,0.147866471759022,1,0.0147817643093615
"77","15214","ah",0.0262668492795456,0.0563623362725591,0.119941601092351,-0.0936747518128053,0.146208450371896,0,0.641190093879361
"78","15214","ch",-0.0526803653848219,0.040988295144141,0.0872249461388568,-0.139905311523679,0.0345445807540349,0,0.198703580800796
"79","1545","ac",0.0412149687879719,0.0341122474992863,0.0725924057181949,-0.031377436930223,0.113807374506167,0,0.226964126228129
"80","1545","ah",0.0156942675603204,0.0404396182999713,0.0860573369955138,-0.0703630694351934,0.101751604555834,0,0.697948405516465
"81","1545","ch",-0.0255207012276514,0.0353571020497179,0.0752415125114944,-0.100762213739146,0.0497208112838429,0,0.470418406536736
"82","1613","ac",0.0504950440474204,0.0378948729326333,0.0806420037443359,-0.0301469596969155,0.131137047791756,0,0.182694850761747
"83","1613","ah",0.014454777672654,0.0510464710604163,0.108629199462081,-0.0941744217894266,0.123083977134735,0,0.777047297999336
"84","1613","ch",-0.0360402663747664,0.0301037383311008,0.0640621168866509,-0.100102383261417,0.0280218505118845,0,0.231227692828519
"85","1646","ac",0.0490566450404003,0.0296532120205273,0.0631033765185599,-0.0140467314781596,0.11216002155896,0,0.0980574209491711
"86","1646","ah",-0.0258395282551646,0.0338524726108522,0.0720395930049018,-0.0978791212600664,0.0462000647497371,0,0.445285630887885
"87","1646","ch",-0.0748961732955649,0.035806420847455,0.0761976832376485,-0.151093856533213,0.00130150994208353,0,0.0364656534809684
"88","1659","ac",0.0426494594081305,0.0234882997261225,0.0499841642912834,-0.00733470488315288,0.0926336236994139,0,0.0694049461800641
"89","1659","ah",0.0259869941859506,0.0425751016028425,0.0906017420608704,-0.0646147478749198,0.116588736246821,0,0.541610056505108
"90","1659","ch",-0.0166624652221799,0.0408886257921638,0.0870128452493874,-0.103675310471567,0.0703503800272075,0,0.683634504747422
"91","1845","ac",0.0839805108844303,0.0249135882108105,0.0530172426584624,0.0309632682259678,0.136997753542893,1,0.000749307301957769
"92","1845","ah",0.0408948503900319,0.0390904483805277,0.0831862423783361,-0.0422913919883042,0.124081092768368,0,0.295487321819194
"93","1845","ch",-0.0430856604943983,0.0395101292068019,0.0840793421605677,-0.127165002654966,0.0409936816661694,0,0.275494462141972
"94","21414","ac",0.0273180799558759,0.0183755522002015,0.0391040062851563,-0.0117859263292804,0.0664220862410321,0,0.13710633604969
"95","21414","ah",-0.0600738146807998,0.0281889448407027,0.0599873497249609,-0.120061164405761,-8.64649558389788e-05,1,0.0330798694134302
"96","21414","ch",-0.0873918946366757,0.0316115360371043,0.0672707786090266,-0.154662673245702,-0.0201211160276491,1,0.00570001398135389
"97","2153","ac",-0.0502620531362481,0.0364310986244445,0.0775270258038723,-0.12778907894012,0.0272649726676242,0,0.167695382366951
"98","2153","ah",-0.02073131717043,0.0459395005770344,0.0977613352637964,-0.118492652434226,0.0770300180933665,0,0.651791846299449
"99","2153","ch",0.0295307359658182,0.0618548532121333,0.131629925589292,-0.102099189623474,0.16116066155511,0,0.633063167972584
"100","21814","ac",NA,0.00758584637311287,0.0161430242215623,NA,NA,NA,NA
"101","21814","ah",NA,0.00532659755458008,0.0113352405404455,NA,NA,NA,NA
"102","21814","ch",NA,0.0022592488185328,0.00480778368111677,NA,NA,NA,NA
"103","254","ac",0.02231901612613,0.0259083634218222,0.0551341693053412,-0.0328151531792112,0.0774531854314712,0,0.388984798380774
"104","254","ah",0.0248449358281505,0.0286405689750211,0.06094842631164,-0.0361034904834895,0.0857933621397904,0,0.385682602109354
"105","254","ch",0.00252591970202047,0.0304775232232986,0.0648575480451028,-0.0623316283430823,0.0673834677471233,0,0.933948455147934
"106","26217","ac",NA,0,0,NA,NA,NA,NA
"107","26217","ah",NA,0,0,NA,NA,NA,NA
"108","26217","ch",NA,0,0,NA,NA,NA,NA
"109","3121","ac",0.0136412146734074,0.0284682892001488,0.0605818071577765,-0.0469405924843691,0.0742230218311839,0,0.631816081922838
"110","3121","ah",-0.0524864173494279,0.0446410347398649,0.0949981412272559,-0.147484558576684,0.0425117238778279,0,0.239697292348201
"111","3121","ch",-0.0661276320228353,0.0403164634488585,0.0857952579015363,-0.151922889924372,0.019667625878701,0,0.100960657529605
"112","315214","ac",NA,0,0,NA,NA,NA,NA
"113","315214","ah",NA,0,0,NA,NA,NA,NA
"114","315214","ch",NA,0,0,NA,NA,NA,NA
"115","318218","ac",NA,0,0,NA,NA,NA,NA
"116","318218","ah",NA,0,0,NA,NA,NA,NA
"117","318218","ch",NA,0,0,NA,NA,NA,NA
"118","321216","ac",NA,0,0,NA,NA,NA,NA
"119","321216","ah",NA,0,0,NA,NA,NA,NA
"120","321216","ch",NA,0,0,NA,NA,NA,NA
"121","32318","ac",NA,0,0,NA,NA,NA,NA
"122","32318","ah",NA,0,0,NA,NA,NA,NA
"123","32318","ch",NA,0,0,NA,NA,NA,NA
"124","323212","ac",NA,0,0,NA,NA,NA,NA
"125","323212","ah",NA,0,0,NA,NA,NA,NA
"126","323212","ch",NA,0,0,NA,NA,NA,NA
"127","3515","ac",0.0228306402859744,0.0266845255393901,0.0567858774005865,-0.0339552371146121,0.0796165176865609,0,0.392232336047285
"128","3515","ah",0.0218987262749579,0.0413629228210117,0.0880221707812154,-0.0661234445062575,0.109920897056173,0,0.596507962199725
"129","3515","ch",-0.000931914011016488,0.0454928190417238,0.0968107767513803,-0.0977426907623968,0.0958788627403638,0,0.983656589829941
"130","4117","ac",-0.0101124173554126,0.0243770710283592,0.0518755098252887,-0.0619879271807014,0.0417630924698761,0,0.678264044418486
"131","4117","ah",-0.0846051826956682,0.0389558456898565,0.0828998017639447,-0.167504984459613,-0.00170538093172347,1,0.0298690528721139
