"","theme","comparison","pwa_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","rando","A-C",0.0132250525951172,0.0105454548512567,0.0224412049385297,-0.00921615234341254,0.0356662575336469,0,0.20980574081061
"2","rando","A-H",-0.00628524826179623,0.0142831129790983,0.0303951105044958,-0.0366803587662921,0.0241098622426996,0,0.659902699637638
"3","rando","C-H",-0.0195103008569134,0.0116827543580919,0.0248614297338913,-0.0443717305908047,0.00535112887697792,0,0.0949176518168402
