"","target_word","n","african_american","caucasian","hispanic"
"1","confront",1000,16,16,16
"2","confronted",1000,12,12,12
"3","confronting",1000,22,22,22
"4","defensiveness",1000,58,58,58
"5","resistances",1000,8,8,8
