"","target_word","base_word","mean","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"66","1373","hispanic",0.0384700894821435,0.0343924425813577,0.0674079487998227,-0.0289378593176792,0.105878038281966,0,0.263326916833847
"67","138","african_american",0.0507816412486136,0.0264341528070149,0.0518099874635775,-0.00102834621496391,0.102591628712191,0,0.0547239164166862
"68","138","caucasian",-0.0435610574204475,0.0231819488276379,0.0454357847936209,-0.0889968422140684,0.00187472737317343,0,0.0602316800517817
"69","138","hispanic",-0.0161175005719997,0.032971030831726,0.0646220329633427,-0.0807395335353424,0.048504532391343,0,0.624956225184413
"70","1411","african_american",0.110872172936797,0.0353814241350402,0.069346317026415,0.0415258559103821,0.180218489963212,1,0.00172660399687974
"71","1411","caucasian",0.0574533165432513,0.0318593106867541,0.06244310151831,-0.00498978497505875,0.119896418061561,0,0.071334109082513
"72","1411","hispanic",0.0932876332663,0.032205152918805,0.0631209398374628,0.0301666934288372,0.156408573103763,1,0.0037714874532444
"73","1453","african_american",0.0926998673472554,0.0403439743357081,0.0790727366911961,0.0136271306560593,0.171772604038451,1,0.021576727349097
"74","1453","caucasian",0.0244426730263513,0.0325545937589756,0.0638058312989245,-0.0393631582725732,0.0882485043252758,0,0.452760382218466
"75","1453","hispanic",0.0427483404695522,0.037132100828293,0.0727775802937642,-0.030029239824212,0.115525920763316,0,0.249629296585064
"76","15214","african_american",0.0642713105073199,0.0392575170358431,0.0769433195127202,-0.0126720090054003,0.14121463002004,0,0.101594520744159
"77","15214","caucasian",-0.0146759041570476,0.0202323279936603,0.0396546341909757,-0.0543305383480233,0.024978730033928,0,0.468225666559637
"78","15214","hispanic",0.0380044612277743,0.0339398759468574,0.0665209344955977,-0.0285164732678234,0.104525395723372,0,0.262816730507863
"79","1545","african_american",0.0582129525835626,0.030200975184814,0.0591928236602233,-0.000979871076660747,0.117405776243786,0,0.0539149862553954
"80","1545","caucasian",0.0169979837955907,0.0296075495022423,0.0580297306948816,-0.0410317468992909,0.0750277144904723,0,0.565893514171233
"81","1545","hispanic",0.0425186850232421,0.0295256424898669,0.0578691959005446,-0.0153505108773024,0.100387880923787,0,0.149850536714816
"82","1613","african_american",0.091843940410763,0.0446070124209681,0.0874281378030282,0.00441580260773478,0.179272078213791,1,0.0394983150871695
"83","1613","caucasian",0.0413488963633426,0.0296929655931719,0.058197143156804,-0.0168482467934613,0.0995460395201466,0,0.163756348711185
"84","1613","hispanic",0.077389162738109,0.0412458830388842,0.0808404452667644,-0.00345128252865544,0.158229608004873,0,0.0606157194894328
"85","1646","african_american",0.0775935113430023,0.0289278172260881,0.0566974799144899,0.0208960314285124,0.134290991257492,1,0.00731146294429963
"86","1646","caucasian",0.028536866302602,0.0277545775121057,0.0543979723298524,-0.0258611060272504,0.0829348386324544,0,0.30386237199515
"87","1646","hispanic",0.103433039598167,0.0345242945386872,0.0676663738874799,0.0357666657106871,0.171099413485647,1,0.00273591826237118
"88","1659","african_american",0.0774875695817172,0.0347849280075587,0.0681772060996337,0.00931036348208356,0.145664775681351,1,0.0259059267363746
"89","1659","caucasian",0.0348381101735868,0.034983425785186,0.0685662545947943,-0.0337281444212076,0.103404364768381,0,0.319324899064979
"90","1659","hispanic",0.0515005753957666,0.0423256247811665,0.0829567001942424,-0.0314561247984757,0.134457275590009,0,0.223691513093963
"91","1845","african_american",0.0774505668319762,0.0253425081073562,0.0496704031683326,0.0277801636636436,0.127120970000309,1,0.00224197272872151
"92","1845","caucasian",-0.00652994405245408,0.0209405930836014,0.0410428082587673,-0.0475727523112213,0.0345128642063132,0,0.75516831108805
"93","1845","hispanic",0.0365557164419442,0.0417562334657445,0.0818407137229053,-0.0452849972809611,0.11839643016485,0,0.381326214656355
"94","21414","african_american",-0.0219697820255533,0.0195044495597418,0.038228018675372,-0.0601978007009252,0.0162582366498187,0,0.259996896656092
"95","21414","caucasian",-0.0492878619814292,0.0176250191274308,0.0345444027165939,-0.083832264698023,-0.0147434592648353,1,0.0051663982743746
"96","21414","hispanic",0.0381040326552466,0.0220761760791285,0.0432685100314566,-0.00516447737621004,0.0813725426867032,0,0.0843429083946594
"97","2153","african_american",-0.0226719745085575,0.0321484360537212,0.0630097768245824,-0.0856817513331399,0.040337802316025,0,0.480668412311436
"98","2153","caucasian",0.0275900786276907,0.0299416277925901,0.0586845121119801,-0.0310944334842894,0.0862745907396708,0,0.356809160405418
"99","2153","hispanic",-0.00194065733812749,0.0479116119648946,0.0939050338924517,-0.0958456912305792,0.0919643765543242,0,0.967690562565099
"100","21814","african_american",NA,0.007830800447613,0.0153480868474416,NA,NA,NA,NA
"101","21814","caucasian",NA,0.000244954074500129,0.000480101163886593,NA,NA,NA,NA
"102","21814","hispanic",NA,0.00250420289303293,0.00490814748032554,NA,NA,NA,NA
"103","254","african_american",-0.0230685853653995,0.0266623590658644,0.0522572635119692,-0.0753258488773687,0.0291886781465697,0,0.386922597586247
"104","254","caucasian",-0.0453876014915295,0.0176613677688266,0.0346156447446166,-0.0800032462361461,-0.0107719567469129,1,0.0101733653606411
"105","254","hispanic",-0.04791352119355,0.0274412898389468,0.0537839397736607,-0.101697460967211,0.00587041858011072,0,0.0808044353046653
"106","26217","african_american",NA,0,0,NA,NA,NA,NA
"107","26217","caucasian",NA,0,0,NA,NA,NA,NA
"108","26217","hispanic",NA,0,0,NA,NA,NA,NA
"109","3121","african_american",0.0604888495989144,0.0274583380485119,0.0538173536504091,0.00667149594850533,0.114306203249323,1,0.0275995468056596
"110","3121","caucasian",0.046847634925507,0.0320300565225126,0.062777757206907,-0.0159301222814,0.109625392132414,0,0.143572809398934
"111","3121","hispanic",0.112975266948342,0.0415699466869162,0.0814755983456059,0.0314996686027364,0.194450865293948,1,0.00657344358374523
"112","315214","african_american",NA,0,0,NA,NA,NA,NA
"113","315214","caucasian",NA,0,0,NA,NA,NA,NA
"114","315214","hispanic",NA,0,0,NA,NA,NA,NA
"115","318218","african_american",NA,0,0,NA,NA,NA,NA
"116","318218","caucasian",NA,0,0,NA,NA,NA,NA
"117","318218","hispanic",NA,0,0,NA,NA,NA,NA
"118","321216","african_american",NA,0,0,NA,NA,NA,NA
"119","321216","caucasian",NA,0,0,NA,NA,NA,NA
"120","321216","hispanic",NA,0,0,NA,NA,NA,NA
"121","32318","african_american",NA,0,0,NA,NA,NA,NA
"122","32318","caucasian",NA,0,0,NA,NA,NA,NA
"123","32318","hispanic",NA,0,0,NA,NA,NA,NA
"124","323212","african_american",NA,0,0,NA,NA,NA,NA
"125","323212","caucasian",NA,0,0,NA,NA,NA,NA
"126","323212","hispanic",NA,0,0,NA,NA,NA,NA
"127","3515","african_american",0.0431999410386197,0.029810396755903,0.0584273040064195,-0.0152273629677998,0.101627245045039,0,0.147293781194511
"128","3515","caucasian",0.0203693007526454,0.0334239987242644,0.0655098337188709,-0.0451405329662255,0.0858791344715163,0,0.542245143803489
"129","3515","hispanic",0.0213012147636618,0.0347922221204317,0.0681915022981639,-0.046890287534502,0.0894927170618257,0,0.54037851084302
"130","4117","african_american",0.0112257261876948,0.0302652757944979,0.0593188505393877,-0.0480931243516928,0.0705445767270825,0,0.710703760868566
"131","4117","caucasian",0.0213381435431074,0.0263413976829027,0.0516281907609361,-0.0302900472178287,0.0729663343040435,0,0.417905017358064
"132","4117","hispanic",0.095830908883363,0.0425601944627837,0.0834164483220771,0.0124144605612859,0.17924735720544,1,0.0243440316227723
"133","413212","african_american",NA,0,0,NA,NA,NA,NA
"134","413212","caucasian",NA,0,0,NA,NA,NA,NA
"135","413212","hispanic",NA,0,0,NA,NA,NA,NA
"136","41717","african_american",NA,0,0,NA,NA,NA,NA
"137","41717","caucasian",NA,0,0,NA,NA,NA,NA
"138","41717","hispanic",NA,0,0,NA,NA,NA,NA
"139","41719","african_american",NA,0,0,NA,NA,NA,NA
"140","41719","caucasian",NA,0,0,NA,NA,NA,NA
"141","41719","hispanic",NA,0,0,NA,NA,NA,NA
"142","41914","african_american",NA,0,0,NA,NA,NA,NA
"143","41914","caucasian",NA,0,0,NA,NA,NA,NA
"144","41914","hispanic",NA,0,0,NA,NA,NA,NA
"145","423","african_american",0.0146271233912557,0.0208647262803058,0.0408941120566857,-0.02626698866543,0.0555212354479415,0,0.483274592825181
"146","423","caucasian",-0.0715625018114224,0.0269125168026478,0.0527475636665188,-0.124310065477941,-0.0188149381449036,1,0.00783546436939453
"147","423","hispanic",-0.0347166647436097,0.0317380046786287,0.0622053461112759,-0.0969220108548857,0.0274886813676662,0,0.274020102936004
"148","46213","african_american",NA,0,0,NA,NA,NA,NA
"149","46213","caucasian",NA,0,0,NA,NA,NA,NA
"150","46213","hispanic",NA,0,0,NA,NA,NA,NA
"151","48218","african_american",NA,0,0,NA,NA,NA,NA
"152","48218","caucasian",NA,0,0,NA,NA,NA,NA
"153","48218","hispanic",NA,0,0,NA,NA,NA,NA
"154","5","african_american",0.0882364062592387,0.029200896411132,0.0572327052821036,0.0310037009771352,0.145469111541342,1,0.00251357891150783
"155","5","caucasian",0.0551240518689156,0.0149563177791289,0.0293138441884287,0.0258102076804868,0.0844378960573443,1,0.000228101753443344
"156","5","hispanic",0.00920470994897187,0.0190306775665912,0.0372994426319131,-0.0280947326829412,0.046504152580885,0,0.62861478613096
"157","514215","african_american",NA,0,0,NA,NA,NA,NA
"158","514215","caucasian",NA,0,0,NA,NA,NA,NA
"159","514215","hispanic",NA,0,0,NA,NA,NA,NA
"160","51422","african_american",NA,0,0,NA,NA,NA,NA
"161","51422","caucasian",NA,0,0,NA,NA,NA,NA
"162","51422","hispanic",NA,0,0,NA,NA,NA,NA
"163","522219","african_american",NA,0,0,NA,NA,NA,NA
"164","522219","caucasian",NA,0,0,NA,NA,NA,NA
"165","522219","hispanic",NA,0,0,NA,NA,NA,NA
"166","52412","african_american",NA,0,0,NA,NA,NA,NA
"167","52412","caucasian",NA,0,0,NA,NA,NA,NA
"168","52412","hispanic",NA,0,0,NA,NA,NA,NA
"169","526216","african_american",NA,0,0,NA,NA,NA,NA
"170","526216","caucasian",NA,0,0,NA,NA,NA,NA
"171","526216","hispanic",NA,0,0,NA,NA,NA,NA
"172","526218","african_american",NA,0,0,NA,NA,NA,NA
"173","526218","caucasian",NA,0,0,NA,NA,NA,NA
"174","526218","hispanic",NA,0,0,NA,NA,NA,NA
"175","528213","african_american",NA,0,0,NA,NA,NA,NA
"176","528213","caucasian",NA,0,0,NA,NA,NA,NA
"177","528213","hispanic",NA,0,0,NA,NA,NA,NA
"178","5315","african_american",-0.00160511324065737,0.0361795592301203,0.0709106330675695,-0.0725157463082268,0.0693055198269121,0,0.964613303794617
"179","5315","caucasian",-0.0429444488370791,0.0360465172019083,0.0706498754838437,-0.113594324320923,0.0277054266467646,0,0.233511525616916
"180","5315","hispanic",0.0618680080980994,0.0300871289590845,0.0589696891580177,0.00289831894008166,0.120837697256117,1,0.0397541051512946
"181","54215","african_american",NA,0.0064879572675679,0.012716162577668,NA,NA,NA,NA
"182","54215","caucasian",NA,0.0139707076346845,0.0273820838025204,NA,NA,NA,NA
"183","54215","hispanic",NA,0.0205210612424718,0.0402205409597855,NA,NA,NA,NA
"184","5712","african_american",0.036352131376043,0.0349264598993749,0.0684546035102572,-0.0321024721342142,0.1048067348863,0,0.297959449766646
"185","5712","caucasian",0.0171635921578854,0.0305634169160649,0.0599031963999695,-0.0427396042420841,0.077066788557855,0,0.574406926326882
"186","5712","hispanic",0.0856103018973954,0.0305633760688349,0.0599031163408698,0.0257071855565256,0.145513418238265,1,0.00509327150264505
"187","58215","african_american",NA,0,0,NA,NA,NA,NA
"188","58215","caucasian",NA,0,0,NA,NA,NA,NA
"189","58215","hispanic",NA,0,0,NA,NA,NA,NA
"190","592","african_american",0.0908008208498359,0.0373130533278459,0.0731322406758004,0.0176685801740354,0.163933061525636,1,0.0149541827642605
"191","592","caucasian",0.0348802643129602,0.0320759722139223,0.0628677503083953,-0.027987485995435,0.0977480146213555,0,0.276848335859224
"192","592","hispanic",0.0383740157703869,0.0424836358795335,0.0832663962561992,-0.0448923804858123,0.121640412026586,0,0.3663848377292
"193","615219","african_american",NA,0,0,NA,NA,NA,NA
"194","615219","caucasian",NA,0,0,NA,NA,NA,NA
"195","615219","hispanic",NA,0,0,NA,NA,NA,NA
"196","6213","african_american",0.0703485423931852,0.0400857070698141,0.0785665421516583,-0.00821799975847309,0.148915084544843,0,0.0792673025362414
"197","6213","caucasian",-0.0292365374727524,0.0342508719111088,0.0671304753848677,-0.0963670128576201,0.0378939379121153,0,0.393326768427871
"198","6213","hispanic",0.05863651658874,0.0289426536994532,0.0567265588679432,0.0019099577207968,0.115363075456683,1,0.042769387008883
"199","62416","african_american",NA,0,0,NA,NA,NA,NA
"200","62416","caucasian",NA,0,0,NA,NA,NA,NA
"201","62416","hispanic",NA,0,0,NA,NA,NA,NA
"202","62519","african_american",NA,0,0,NA,NA,NA,NA
"203","62519","caucasian",NA,0,0,NA,NA,NA,NA
"204","62519","hispanic",NA,0,0,NA,NA,NA,NA
"205","626213","african_american",NA,0,0,NA,NA,NA,NA
"206","626213","caucasian",NA,0,0,NA,NA,NA,NA
"207","626213","hispanic",NA,0,0,NA,NA,NA,NA
"208","627217","african_american",NA,0,0,NA,NA,NA,NA
"209","627217","caucasian",NA,0,0,NA,NA,NA,NA
"210","627217","hispanic",NA,0,0,NA,NA,NA,NA
"211","636","african_american",0.0250008601986337,0.0318244946890858,0.0623748634167944,-0.0373740032181607,0.0873757236154282,0,0.432110387338842
"212","636","caucasian",-0.0270348473102786,0.0255833314392398,0.0501424082254612,-0.0771772555357398,0.0231075609151827,0,0.290631733706117
"213","636","hispanic",0.0246826642920496,0.0359787878785695,0.0705171284494024,-0.0458344641573529,0.095199792741452,0,0.492691799327259
"214","648","african_american",0.00569651317200623,0.03623928082417,0.0710276852410062,-0.065331172069,0.0767241984130125,0,0.875093790899786
"215","648","caucasian",-0.0355721194762737,0.0247416861908576,0.0484928138508729,-0.0840649333271465,0.0129206943745992,0,0.150507752255463
"216","648","hispanic",0.0332285696174949,0.0351666993029789,0.0689254640889885,-0.0356968944714935,0.102154033706483,0,0.344716385981617
"217","6514","african_american",0.0125985780032352,0.0345019190289006,0.0676225186941622,-0.0550239406909271,0.0802210966973974,0,0.714995063290754
"218","6514","caucasian",-0.0238554027098871,0.0372405416491327,0.072990120397064,-0.0968455231069511,0.0491347176871769,0,0.521798100669041
"219","6514","hispanic",0.0372869519807864,0.0365255506477195,0.0715887637850238,-0.0343018118042374,0.10887571576581,0,0.307327540163258
"220","71417","african_american",NA,0,0,NA,NA,NA,NA
"221","71417","caucasian",NA,0,0,NA,NA,NA,NA
"222","71417","hispanic",NA,0,0,NA,NA,NA,NA
"223","71613","african_american",NA,0,0,NA,NA,NA,NA
"224","71613","caucasian",NA,0,0,NA,NA,NA,NA
"225","71613","hispanic",NA,0,0,NA,NA,NA,NA
"226","726214","african_american",NA,0,0,NA,NA,NA,NA
"227","726214","caucasian",NA,0,0,NA,NA,NA,NA
"228","726214","hispanic",NA,0,0,NA,NA,NA,NA
"229","72913","african_american",NA,0,0,NA,NA,NA,NA
"230","72913","caucasian",NA,0,0,NA,NA,NA,NA
"231","72913","hispanic",NA,0,0,NA,NA,NA,NA
"232","72919","african_american",NA,0,0,NA,NA,NA,NA
"233","72919","caucasian",NA,0,0,NA,NA,NA,NA
"234","72919","hispanic",NA,0,0,NA,NA,NA,NA
"235","73212","african_american",NA,0,0,NA,NA,NA,NA
"236","73212","caucasian",NA,0,0,NA,NA,NA,NA
"237","73212","hispanic",NA,0,0,NA,NA,NA,NA
"238","73214","african_american",NA,0,0,NA,NA,NA,NA
"239","73214","caucasian",NA,0,0,NA,NA,NA,NA
"240","73214","hispanic",NA,0,0,NA,NA,NA,NA
"241","754","african_american",0.0424325865256833,0.0300773384908054,0.0589505001927988,-0.0165179136671156,0.101383086718482,0,0.158308719449041
"242","754","caucasian",0.0164224465144798,0.031607137502291,0.0619488511588957,-0.0455264046444159,0.0783712976733755,0,0.603356119958199
"243","754","hispanic",0.0494453184772283,0.0295642769293038,0.0579449180104039,-0.00849959953317565,0.107390236487632,0,0.094431997090058
"244","759","african_american",-0.0713444659486413,0.0310210734110174,0.0608001866473672,-0.132144652596009,-0.0105442793012741,1,0.0214555316558223
"245","759","caucasian",-0.0514225837774575,0.0283003018216212,0.0554675723219907,-0.106890156099448,0.00404498854453326,0,0.0692120526638833
"246","759","hispanic",0.00213672329882684,0.0321841205428184,0.0630797171380198,-0.0609429938391929,0.0652164404368466,0,0.947066848227579
"247","813216","african_american",NA,0,0,NA,NA,NA,NA
"248","813216","caucasian",NA,0,0,NA,NA,NA,NA
"249","813216","hispanic",NA,0,0,NA,NA,NA,NA
"250","815214","african_american",NA,0,0,NA,NA,NA,NA
"251","815214","caucasian",NA,0,0,NA,NA,NA,NA
"252","815214","hispanic",NA,0,0,NA,NA,NA,NA
"253","81522","african_american",NA,0,0,NA,NA,NA,NA
"254","81522","caucasian",NA,0,0,NA,NA,NA,NA
