"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant"
"1","aggression","ac",-0.0798076106235385,0.0386102687068994,0.0821643983123189,-0.161972008935857,0.00235678768878043,0
"2","aggression","ah",-0.0526319878175855,0.0483056662383125,0.102796642822571,-0.155428630640157,0.050164655004986,0
"3","aggression","ch",0.027175622805953,0.0379204251167924,0.0806963799480587,-0.0535207571421056,0.107872002754012,0
"4","aggressive","ac",0.0706298414617777,0.0240885917698306,0.0512616129140156,0.0193682285477621,0.121891454375793,1
"5","aggressive","ah",0.0613971073180437,0.0313573660759563,0.0667298934345326,-0.00533278611648892,0.128127000752576,0
"6","aggressive","ch",-0.00923273414373398,0.0339918524793562,0.072336199669813,-0.081568933813547,0.0631034655260791,0
"7","aggressively","ac",0.0207849889993668,0.0324750543290318,0.0691083845947945,-0.0483233955954277,0.0898933735941612,0
"8","aggressively","ah",-0.0186779253184795,0.039578957209034,0.0842258112626962,-0.102903736581176,0.0655478859442167,0
"9","aggressively","ch",-0.0394629143178463,0.0421155710243592,0.0896238402033667,-0.129086754521213,0.0501609258855204,0
"10","aggressiveness","ac",-0.0602785760129336,0.0411521091682917,0.0875735497922434,-0.147852125805177,0.0272949737793098,0
"11","aggressiveness","ah",-0.0224799403586076,0.0342915879259074,0.0729740502583625,-0.0954539906169701,0.0504941098997549,0
"12","aggressiveness","ch",0.0377986356543261,0.043057915835268,0.0916291925871801,-0.0538305569328541,0.129427828241506,0
"13","agitate","ac",-0.0601481803692877,0.043535351080634,0.0926451963857133,-0.152793376755001,0.0324970160164256,0
"14","agitate","ah",0.0577465528156608,0.0461991635782736,0.0983139098760775,-0.0405673570604167,0.156060462691738,0
"15","agitate","ch",0.117894733184949,0.0511487712717637,0.108846898939295,0.00904783424565406,0.226741632124243,1
"16","agitated","ac",-0.102230221405625,0.0361772791580453,0.076986886498058,-0.179217107903683,-0.0252433349075673,1
"17","agitated","ah",0.0415585598442703,0.035452121263196,0.0754437176958923,-0.033885157851622,0.117002277540163,0
"18","agitated","ch",0.143788781249896,0.0326234875656045,0.0694242572364778,0.0743645240134179,0.213213038486373,1
"19","agitation","ac",-0.0762451655929908,0.0329125884577038,0.0700394770121083,-0.146284642605099,-0.00620568858088248,1
"20","agitation","ah",-0.0332836317596957,0.0339621946816116,0.0722730865346661,-0.105556718294362,0.0389894547749704,0
"21","agitation","ch",0.0429615338332951,0.0320453906327564,0.0681940408136333,-0.0252325069803382,0.111155574646928,0
"22","anger","ac",-0.149310938990675,0.0369867024385836,0.078709375852646,-0.228020314843321,-0.0706015631380289,1
"23","anger","ah",-0.114218628755771,0.0425583804901982,0.0905661587767974,-0.204784787532568,-0.0236524699789732,1
"24","anger","ch",0.0350923102349043,0.0381290069085331,0.0811402514359102,-0.0460479412010059,0.116232561670814,0
"25","angrily","ac",-0.0714981710305437,0.0449982852738164,0.0957583865234413,-0.167256557553985,0.0242602154928976,0
"26","angrily","ah",0.0177619686466642,0.0476056899418288,0.101307061600797,-0.0835450929541327,0.119069030247461,0
"27","angrily","ch",0.0892601396772079,0.0494422518701711,0.105215348459691,-0.0159552087824833,0.194475488136899,0
"28","angry","ac",-0.073592946305871,0.034967173561116,0.0744117270496522,-0.148004673355523,0.000818780743781153,0
"29","angry","ah",0.0425833913963288,0.0373941374691582,0.0795764160277003,-0.0369930246313715,0.122159807424029,0
"30","angry","ch",0.1161763377022,0.0349102543564858,0.0742906004075053,0.0418857372946945,0.190466938109705,1
"31","challenged","ac",0.0255425961688161,0.0444917688114804,0.0946804965797309,-0.0691379004109148,0.120223092748547,0
"32","challenged","ah",0.157948433898855,0.0413122923084279,0.0879144267602069,0.070034007138648,0.245862860659062,1
"33","challenged","ch",0.132405837730039,0.0427352774179234,0.0909426034407851,0.0414632342892538,0.223348441170824,1
"34","challenges","ac",-0.0915882724955736,0.0403193342002703,0.0858013669903969,-0.177389639485971,-0.0057869055051767,1
"35","challenges","ah",-0.0538445586025773,0.0368707081512131,0.0784625347622145,-0.132307093364792,0.0246179761596372,0
"36","challenges","ch",0.0377437138929963,0.0427824236521084,0.0910429327597522,-0.0532992188667559,0.128786646652748,0
"37","challenging","ac",0.0546622236492112,0.0323832538743977,0.0689130290748145,-0.0142508054256033,0.123575252724026,0
"38","challenging","ah",0.0577198572049383,0.0389040451880987,0.0827895679530507,-0.0250697107481124,0.140509425157989,0
"39","challenging","ch",0.00305763355572708,0.0361785179631888,0.0769895227314398,-0.0739318891757127,0.0800471562871668,0
"40","combative","ac",-0.0321894805878401,0.037476199895474,0.0797510485829272,-0.111940529170767,0.0475615679950871,0
"41","combative","ah",0.0537866995669901,0.0363689953422862,0.0773948672102479,-0.0236081676432578,0.131181566777238,0
"42","combative","ch",0.0859761801548302,0.040690950425858,0.0865921831282045,-0.000616002973374288,0.172568363283035,0
"43","combativeness","ac",-0.0348025844199583,0.0479496172711825,0.102038954514934,-0.136841538934892,0.0672363700949757,0
"44","combativeness","ah",0.0464541953231674,0.0440310290100086,0.0937000214410095,-0.0472458261178421,0.140154216764177,0
"45","combativeness","ch",0.0812567797431257,0.04605719092594,0.0980117856498946,-0.0167550059067689,0.17926856539302,0
"46","confront","ac",-0.0381408935412765,0.0422354525855642,0.0898789535883558,-0.128019847129632,0.0517380600470793,0
"47","confront","ah",0.125529518153053,0.0673985956257254,0.143427260212086,-0.0178977420590332,0.268956778365139,0
"48","confront","ch",0.163670411694329,0.0637945675319711,0.135757725403303,0.0279126862910259,0.299428137097632,1
"49","confrontation","ac",0.0235388222979964,0.031742673490205,0.0675498450411208,-0.0440110227431244,0.0910886673391171,0
"50","confrontation","ah",0.0778074812387331,0.0441541230477439,0.0939619711213687,-0.0161544898826356,0.171769452360102,0
"51","confrontation","ch",0.0542686589407367,0.0448489920364863,0.095440683761245,-0.0411720248205083,0.149709342701982,0
"52","confrontational","ac",-0.0622918688692152,0.0496791323692371,0.1057194408768,-0.168011309746015,0.0434275720075847,0
"53","confrontational","ah",0.0229545304086059,0.0477053147286461,0.10151906765359,-0.0785645372449842,0.124473598062196,0
"54","confrontational","ch",0.0852463992778212,0.0498113199305997,0.106000741986776,-0.0207543427089551,0.191247141264597,0
"55","confronted","ac",-0.0712988229468465,0.0397385088972898,0.0845653444724952,-0.155864167419342,0.0132665215256487,0
"56","confronted","ah",0.0323995652608573,0.0442823569351065,0.0942348586342318,-0.0618352933733745,0.126634423895089,0
"57","confronted","ch",0.103698388207704,0.0450481654614846,0.0958645338190889,0.00783385438861497,0.199562922026793,1
"58","confronting","ac",-0.0122903544222936,0.0330558457727309,0.0703443350586139,-0.0826346894809075,0.0580539806363203,0
"59","confronting","ah",0.000649302359670401,0.0412482629251137,0.0877781693361974,-0.0871288669765271,0.0884274716958678,0
"60","confronting","ch",0.012939656781964,0.0297732221411267,0.0633587634837555,-0.0504191067017915,0.0762984202657195,0
"61","defensive","ac",-0.0471578483469784,0.0361578642142544,0.0769455706194518,-0.12410341896643,0.0297877222724733,0
