"","target_word","base_word","mean","bootstrap_se","bootstrap_me","lb","ub","significant"
"1","aggression","african_american",0.000113785688881762,0.0378344791935542,0.0741542165931963,-0.0740404309043145,0.074268002282078,0
"2","aggression","caucasian",-0.0165106536733219,0.0389441381497479,0.0763291081824582,-0.0928397618557801,0.0598184545091362,0
"3","aggression","hispanic",-0.0607546853017993,0.0347217910153528,0.068053459868818,-0.128808145170617,0.00729877456701866,0
"4","aggressive","african_american",-0.0594793867319822,0.0269723147909179,0.0528647655698762,-0.112344152301858,-0.00661462116210608,1
"5","aggressive","caucasian",-0.106175350025296,0.018545276245763,0.0363480735250416,-0.142523423550338,-0.0698272765002546,1
"6","aggressive","hispanic",-0.0453873913735151,0.0354777363449914,0.0695350854891909,-0.114922476862706,0.0241476941156758,0
"7","aggressively","african_american",-0.0529932803474367,0.0332677551302119,0.0652036019017128,-0.11819688224915,0.0122103215542762,0
"8","aggressively","caucasian",-0.122561493515968,0.0244966182331831,0.0480124894800661,-0.170573982996034,-0.0745490040359022,1
"9","aggressively","hispanic",-0.0726629731943831,0.0305735004536423,0.059922959770458,-0.132585932964841,-0.0127400134239251,1
"10","aggressiveness","african_american",0.0386366617341991,0.0288571431650638,0.0565589613002413,-0.0179222995660421,0.0951956230344404,0
"11","aggressiveness","caucasian",-0.0506460614968091,0.0430453079842455,0.0843672533525556,-0.135013314849365,0.0337211918557465,0
"12","aggressiveness","hispanic",-0.0307474644854665,0.0372783912155092,0.0730643041839923,-0.103811768669459,0.0423168396985259,0
"13","agitate","african_american",-0.0164056703128153,0.0432690391575191,0.0848057583943908,-0.101211428707206,0.0684000880815755,0
"14","agitate","caucasian",-0.1083156876266,0.0317468623166143,0.0622227067627158,-0.170538394389316,-0.0460929808638845,1
"15","agitate","hispanic",-0.0915553266182542,0.045783925697064,0.0897348454371033,-0.181290172055358,-0.00182048118115084,1
"16","agitated","african_american",0.0520957336761057,0.0168176551028761,0.0329619983060534,0.0191337353700523,0.0850577319821592,1
"17","agitated","caucasian",-0.0240398341731634,0.0168794003102342,0.0330830166886932,-0.0571228508618566,0.00904318251552983,0
"18","agitated","hispanic",-0.0109476673416793,0.0276403785050234,0.0541741463889009,-0.0651218137305802,0.0432264790472215,0
"19","agitation","african_american",0.0602164838463068,0.0160428573787501,0.0314434226714629,0.0287730611748439,0.0916599065177697,1
"20","agitation","caucasian",0.00381394881987944,0.0141128765381446,0.0276607297330238,-0.0238467809131443,0.0314746785529032,0
"21","agitation","hispanic",0.00137344004469924,0.033707122910189,0.0660647469264353,-0.0646913068817361,0.0674381869711346,0
"22","anger","african_american",-0.00530498739572067,0.0263479746606379,0.0516410814004243,-0.056946068796145,0.0463360940047036,0
"23","anger","caucasian",0.0107474154327065,0.0375439787083422,0.0735848461046894,-0.0628374306719829,0.0843322615373959,0
"24","anger","hispanic",0.0429524593055248,0.0360918787374021,0.070738782459695,-0.0277863231541702,0.11369124176522,0
"25","angrily","african_american",0.062199842184782,0.0316907626282804,0.0621127533940374,8.70887907446424e-05,0.124312595578819,1
"26","angrily","caucasian",-0.033426899346523,0.0382705586707603,0.0750089166629172,-0.10843581600944,0.0415820173163942,0
"27","angrily","hispanic",0.114630239829421,0.0525250681771066,0.10294724191264,0.0116829979167813,0.217577481742061,1
"28","angry","african_american",0.0139273080392741,0.0266512261091937,0.0522354433178532,-0.0383081352785791,0.0661627513571272,0
"29","angry","caucasian",0.0170946475001983,0.0241847338557557,0.0474012073329676,-0.0303065598327693,0.0644958548331659,0
"30","angry","hispanic",0.0673635964281857,0.0313733217822125,0.0614905807685225,0.00587301565966316,0.128854177196708,1
"31","challenged","african_american",0.015758336824365,0.0425652939695412,0.0834264431716606,-0.0676681063472957,0.0991847799960256,0
"32","challenged","caucasian",-0.0565707105557522,0.0366927478610095,0.0719164643013877,-0.12848717485714,0.0153457537456356,0
"33","challenged","hispanic",0.0206571028800681,0.0475042609843613,0.0931066406415394,-0.0724495377614713,0.113763743521608,0
"34","challenges","african_american",-0.035410538520955,0.0287816955690995,0.056411086729431,-0.091821625250386,0.021000548208476,0
"35","challenges","caucasian",-0.0183593743277015,0.0298481837366739,0.058501365127815,-0.0768607394555166,0.0401419908001135,0
"36","challenges","hispanic",-0.043086381838657,0.0384359603501481,0.0753330979974999,-0.118419479836157,0.0322467161588429,0
"37","challenging","african_american",0.00145150297903456,0.0370906906397297,0.0726964178155871,-0.0712449148365526,0.0741479207946217,0
"38","challenging","caucasian",-0.0339020136510953,0.0289192314935386,0.056680652187912,-0.0905826658390074,0.0227786385368167,0
"39","challenging","hispanic",-0.0177154925477225,0.0293613001072239,0.0575470907494309,-0.0752625832971534,0.0398315982017084,0
"40","combative","african_american",0.00909206248325063,0.0205873148296351,0.0403503956044721,-0.0312583331212215,0.0494424580877228,0
"41","combative","caucasian",-0.0361635277047753,0.0213425235612827,0.0418305775193116,-0.077994105224087,0.00566704981453631,0
"42","combative","hispanic",-0.013062508602161,0.0289384774909577,0.0567183736497001,-0.0697808822518611,0.0436558650475392,0
"43","combativeness","african_american",0.0487925176508725,0.0288338472927215,0.0565133022294618,-0.00772078457858935,0.105305819880334,0
"44","combativeness","caucasian",0.00482577337534167,0.0337820183413131,0.0662115392740451,-0.0613857658987035,0.0710373126493868,0
"45","combativeness","hispanic",0.0111612085893285,0.0394588607198081,0.077337945881806,-0.0661767372924775,0.0884991544711344,0
"46","confront","african_american",0.026023217983311,0.0226910677607752,0.0444736755818773,-0.0184504575985663,0.0704968935651883,0
