"","theme","base_word","pwa","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","rando","african_american",0.0162757274580379,0.00740853515576648,0.0145204620835011,0.00175526537453676,0.030796189541539,1,0.0280283932748842
"2","rando","caucasian",-0.000514934216687085,0.00631540926101146,0.0123779746992132,-0.0128929089159003,0.0118630404825261,0,0.935015569490879
"3","rando","hispanic",0.00634029390192505,0.00821589909255545,0.016102866322024,-0.00976257242009894,0.022443160223949,0,0.440286032619446
