"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","111319","ac",-0.0141531502478756,0.0298969274362276,0.0636220139474384,-0.077775164195314,0.0494688636995628,0,0.635929146889729
"2","111319","ah",0.0415087324450724,0.0363228158930906,0.0772965952534701,-0.0357878628083978,0.118805327698543,0,0.253132861337244
"3","111319","ch",0.055661882692948,0.0372701208697517,0.0793125030943733,-0.0236506204014253,0.134974385787321,0,0.135313673128643
"4","111417","ac",0.0040776027875836,0.0301239354458018,0.0641050972603347,-0.0600274944727511,0.0681827000479183,0,0.892326542763937
"5","111417","ah",-0.00255612598848529,0.036889978754199,0.0785035434770584,-0.0810596694655437,0.0759474174885731,0,0.944758367709601
"6","111417","ch",-0.00663372877606889,0.0339449649524742,0.072236420891689,-0.0788701496677579,0.0656026921156201,0,0.845059462666811
"7","1121219","ac",-0.0622405227506533,0.0347164010579723,0.0738780718194725,-0.136118594570126,0.0116375490688192,0,0.0730004913325413
"8","1121219","ah",-0.060602082670448,0.0392020342315137,0.0834237021167292,-0.144025784787177,0.0228216194462812,0,0.122130828136253
"9","1121219","ch",0.00163844008020533,0.0437101474913793,0.0930171710545526,-0.0913787309743472,0.0946556111347579,0,0.970098934773223
"10","112222","ac",-0.0143879006751376,0.0430297746877056,0.0915693069522255,-0.105957207627363,0.0771814062770878,0,0.738099762272775
"11","112222","ah",-0.0410679659951711,0.0446491153669947,0.0950153371673086,-0.13608330316248,0.0539473711721375,0,0.357680681893799
"12","112222","ch",-0.0266800653200335,0.0433900653075588,0.0923360216887257,-0.119016087008759,0.0656559563686923,0,0.538628157840139
"13","1124","ac",0.0227850840310566,0.0412471810481876,0.0877758670531609,-0.0649907830221043,0.110560951084218,0,0.580671985418193
"14","1124","ah",-0.00569332202430814,0.0404111079152815,0.0859966656072498,-0.091689987631558,0.0803033435829417,0,0.887960731892114
"15","1124","ch",-0.0284784060553648,0.0404271059777096,0.0860307102077562,-0.114509116263121,0.0575523041523914,0,0.481159796064957
"16","112915","ac",0.0185880820296006,0.0471715611154014,0.100383215820696,-0.081795133791095,0.118971297850296,0,0.6935421156073
"17","112915","ah",0.0589925881358795,0.0445574458439312,0.0948202602756333,-0.0358276721397538,0.153812848411513,0,0.185514002943187
"18","112915","ch",0.0404045061062789,0.0299253995036768,0.063682603794881,-0.0232780976886021,0.10408710990116,0,0.17696007147458
"19","112918","ac",-0.0274935878907854,0.0299762635129778,0.0637908447074657,-0.0912844325982511,0.0362972568166803,0,0.35904905024778
"20","112918","ah",-0.00781296606946853,0.0356818836974971,0.0759326625492017,-0.0837456286186702,0.0681196964797331,0,0.826679879364915
"21","112918","ch",0.0196806218213169,0.0349484416597034,0.0743718647161239,-0.054691242894807,0.0940524865374407,0,0.57334430188416
"22","1129215","ac",0.0254519689908193,0.0343760726600571,0.0731538375942312,-0.0477018686034119,0.0986058065850505,0,0.459058645922357
"23","1129215","ah",0.0084061535220826,0.0420532009033526,0.0894911137646032,-0.0810849602425206,0.0978972672866858,0,0.84156402274996
"24","1129215","ch",-0.0170458154687367,0.0385643817902054,0.0820667488779368,-0.0991125643466735,0.0650209334092001,0,0.658482474880977
"25","1129219","ac",-0.0301059751596767,0.0430521297798042,0.0916168795994257,-0.121722854759102,0.0615109044397489,0,0.484370070301143
"26","1129219","ah",-0.0475063813966699,0.0509006487706572,0.108318883033321,-0.155825264429991,0.060812501636651,0,0.350656922785293
"27","1129219","ch",-0.0174004062369931,0.045915959083291,0.0977112379002302,-0.115111644137223,0.0803108316632371,0,0.704716041192544
"28","1133","ac",-0.0204211564472644,0.0428581578638134,0.0912040985880357,-0.1116252550353,0.0707829421407713,0,0.633730767561152
"29","1133","ah",-0.0452345853060251,0.0366368483183046,0.0779648704593262,-0.123199455765351,0.0327302851533011,0,0.216951640162009
"30","1133","ch",-0.0248134288587607,0.037633219703227,0.0800851938364887,-0.104898622695249,0.0552717649777279,0,0.509671631192479
"31","1154","ac",0.00328474194539012,0.0395341267954856,0.0841304101147979,-0.0808456681694078,0.087415152060188,0,0.933782966937751
"32","1154","ah",0.0337175913053216,0.0342546356155379,0.0728954140703887,-0.0391778227650671,0.10661300537571,0,0.324957217693402
"33","1154","ch",0.0304328493599314,0.0345254086847357,0.0734716314098406,-0.0430387820499092,0.103904480769772,0,0.378067600198386
"34","11716","ac",-0.0334101607906632,0.0372446898275196,0.0792583846861509,-0.112668545476814,0.0458482238954877,0,0.369694933789845
"35","11716","ah",-0.0543166625429876,0.0284302686646298,0.0605008977383641,-0.114817560281352,0.00618423519537652,0,0.0560659967513952
"36","11716","ch",-0.0209065017523244,0.0363671730529975,0.077390989296212,-0.0982974910485364,0.0564844875438876,0,0.565377268154108
"37","11816","ac",-0.0162506604101509,0.0382932983394393,0.0814898710324676,-0.0977405314426185,0.0652392106223167,0,0.671293455878544
"38","11816","ah",-0.0110426479834132,0.0296949925236699,0.0631922873191545,-0.0742349353025677,0.0521496393357413,0,0.709990366712139
"39","11816","ch",0.0052080124267377,0.03318608905751,0.0706214986600726,-0.0654134862333349,0.0758295110868103,0,0.875297178945815
"40","118213","ac",0.0231992431916296,0.0370811614790983,0.0789103889636389,-0.0557111457720093,0.102109632155269,0,0.531554894254131
"41","118213","ah",-0.00458495523780584,0.0363890223110072,0.0774374855055899,-0.0820224407433957,0.072852530267784,0,0.899733263990882
"42","118213","ch",-0.0277841984294355,0.0462773384204052,0.098480269476309,-0.126264467905744,0.0706960710468735,0,0.54824999028246
