"","theme","base_word","pwa","bootstrap_se","bootstrap_me","lb","ub","significant"
"1","violence","african_american",0.0236605875451734,0.0107080851757924,0.0209874612879404,0.00267312625723305,0.0446480488331138,1
"2","violence","caucasian",0.0782047368252636,0.0143354616567046,0.0280969885488959,0.0501077482763677,0.10630172537416,1
"3","violence","hispanic",0.0116777829302314,0.0145780873246931,0.0285725261198783,-0.0168947431896469,0.0402503090501097,0
"4","passivity","african_american",0.0506718782323689,0.0114456519671091,0.0224330656351139,0.028238812597255,0.0731049438674828,1
"5","passivity","caucasian",0.0472277231931869,0.0127527848685869,0.0249949990450177,0.0222327241481692,0.0722227222382046,1
"6","passivity","hispanic",-0.000299503459194444,0.0121995298329759,0.0239106391009547,-0.0242101425601491,0.0236111356417603,0
"7","nonadherence","african_american",0.0368984849105454,0.0209877015557792,0.0411351391676025,-0.00423665425705709,0.0780336240781479,0
"8","nonadherence","caucasian",0.0277084930393606,0.0245203220012989,0.0480589480118709,-0.0203504549725103,0.0757674410512315,0
"9","nonadherence","hispanic",0.0112486959570063,0.0273021238147762,0.0535111793784146,-0.0422624834214083,0.0647598753354209,0
"10","noncompliance","african_american",0.106526984861815,0.0253570502111961,0.0496989051681181,0.0568280796936969,0.156225890029933,1
"11","noncompliance","caucasian",0.0507774498689244,0.0233714784723005,0.0458072560711622,0.00497019379776223,0.0965847059400866,1
"12","noncompliance","hispanic",-0.0038706823412255,0.0276026386504435,0.0541001776331425,-0.057970859974368,0.050229495291917,0
"13","noncompli_nonadher","african_american",0.0736839325966681,0.0187043477372683,0.0366598479193591,0.037024084677309,0.110343780516027,1
"14","noncompli_nonadher","caucasian",0.0413036379164665,0.0182453244137964,0.0357601787372903,0.00554345917917619,0.0770638166537568,1
"15","noncompli_nonadher","hispanic",0.00279918685387023,0.0230847703479959,0.0452453184734501,-0.0424461316195799,0.0480445053273204,0
"16","describe_patient","african_american",0.0650051407252724,0.0137056392387579,0.0268625592930644,0.038142581432208,0.0918677000183368,1
"17","describe_patient","caucasian",0.0774073273409131,0.0144549547763319,0.0283311907597657,0.0490761365811474,0.105738518100679,1
"18","describe_patient","hispanic",0.0225843782706091,0.0177352546412449,0.0347604603534868,-0.0121760820828777,0.0573448386240959,0
