"","target_word","base_word","mean","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"1","aggression","african_american",0.0745772773399949,0.0375295695070623,0.0735566045891348,0.00102067275086011,0.14813388192913,1,0.0469046158292961
"2","aggression","caucasian",0.154384887963533,0.0351101116298499,0.0688145542876867,0.0855703336758467,0.22319944225122,1,1.0967492185987e-05
"3","aggression","hispanic",0.12720926515758,0.0431387874216995,0.0845504696832605,0.0426587954743199,0.211759734840841,1,0.00318971858584383
"4","aggressive","african_american",-0.0427844703197479,0.0226697705118428,0.044431933741,-0.087216404060748,0.0016474634212521,0,0.0591210986900144
"5","aggressive","caucasian",-0.113414311781526,0.0225156302096374,0.0441298243001112,-0.157544136081637,-0.0692844874814144,1,4.72546813456987e-07
"6","aggressive","hispanic",-0.104181577637792,0.0260141975478043,0.0509868902804065,-0.155168467918198,-0.0531946873573851,1,6.20707881424654e-05
"7","aggressively","african_american",-0.127491602301598,0.0306399680146887,0.0600532337962491,-0.187544836097847,-0.0674383685053484,1,3.16916173876969e-05
"8","aggressively","caucasian",-0.148276591300964,0.0285279477634508,0.0559137501692035,-0.204190341470168,-0.0923628411317609,1,2.018882203636e-07
"9","aggressively","hispanic",-0.108813676983118,0.0324670529016405,0.0636342543713721,-0.17244793135449,-0.045179422611746,1,0.000803719170301864
"10","aggressiveness","african_american",-0.0427359090885147,0.0400925550041828,0.0785799638563895,-0.121315872944904,0.0358440547678747,0,0.286454700778612
"11","aggressiveness","caucasian",0.0175426669244189,0.0395978975953123,0.0776104531503173,-0.0600677862258984,0.0951531200747362,0,0.657751152890904
"12","aggressiveness","hispanic",-0.0202559687299072,0.0441098360884841,0.086453690097394,-0.106709658827301,0.0661977213674868,0,0.646078634747308
"13","agitate","african_american",0.0603283473290503,0.0503723765445865,0.0987280438430797,-0.0383996965140294,0.15905639117213,0,0.231054302940481
"14","agitate","caucasian",0.120476527698338,0.0406931526125171,0.0797571135379256,0.0407194141604124,0.200233641236264,1,0.00307031116158618
"15","agitate","hispanic",0.00258179451338947,0.0503513427136337,0.0986868182919553,-0.0961050237785659,0.101268612805345,0,0.959105923483296
"16","agitated","african_american",0.0883458148688078,0.0252392257315893,0.0494679734315917,0.0388778414372161,0.137813788300399,1,0.000464668991272621
"17","agitated","caucasian",0.190576036274433,0.029927585496461,0.0586569897173068,0.131919046557126,0.24923302599174,1,1.91626936540956e-10
"18","agitated","hispanic",0.0467872550245374,0.026846013553476,0.0526172196932871,-0.00582996466874967,0.0994044747178245,0,0.0813684092143974
"19","agitation","african_american",0.0207961425418034,0.0259938979265862,0.0509471037539194,-0.0301509612121159,0.0717432462957228,0,0.423687968919352
"20","agitation","caucasian",0.0970413081347942,0.0244571760105533,0.0479351841442414,0.0491061239905529,0.144976492279036,1,7.25376117696186e-05
"21","agitation","hispanic",0.0540797743014991,0.0224662759943948,0.0440330918157506,0.0100466824857485,0.0981128661172498,1,0.0160774118515392
"22","anger","african_american",-0.0448160476749763,0.0361053686111059,0.0707652221263106,-0.115581269801287,0.0259491744513343,0,0.214510761206629
"23","anger","caucasian",0.104494891315699,0.0391329943517691,0.0766992595366768,0.0277956317790218,0.181194150852375,1,0.00757947145786497
